"z1";"z2";"z3";"z4";"z5";"z6";"ziehung"
13;41;3;23;12;16;1
12;32;30;49;3;18;2
34;12;14;24;36;23;3
30;13;36;44;23;4;4
31;44;6;49;5;39;5
29;44;6;37;22;18;6
27;44;8;16;12;4;7
26;37;9;44;46;24;8
47;20;31;26;21;5;9
10;26;37;8;31;22;10
26;8;42;39;36;14;11
34;38;42;39;9;5;12
38;22;46;4;27;36;13
37;6;41;22;21;42;14
29;1;19;9;49;16;15
23;40;35;12;17;27;16
18;5;22;6;38;43;17
26;42;43;12;35;36;18
14;1;23;27;33;30;19
26;35;38;20;42;8;20
30;42;1;48;32;45;21
41;6;4;47;17;19;22
6;28;9;26;20;22;23
26;10;3;49;24;38;24
42;16;18;3;37;19;25
25;10;32;7;43;22;26
32;39;19;25;2;30;27
46;32;14;31;12;1;28
19;33;21;10;24;35;29
18;4;40;36;47;34;30
45;39;41;49;3;1;31
43;31;39;32;4;34;32
22;12;37;31;6;42;33
36;33;38;43;35;5;34
36;34;35;11;33;17;35
23;40;14;46;10;16;36
25;41;5;46;38;19;37
37;18;43;32;14;16;38
44;13;35;21;25;5;39
47;3;43;20;48;42;40
48;12;19;17;34;23;41
38;48;5;10;18;8;42
27;35;9;17;23;10;43
40;9;23;25;31;46;44
10;31;4;11;26;47;45
5;34;33;14;6;40;46
36;3;16;29;25;11;47
49;48;40;31;26;14;48
42;47;15;28;27;22;49
42;23;17;8;4;18;50
31;9;5;22;21;6;51
9;10;39;36;27;24;52
33;44;29;36;9;6;53
32;10;11;25;12;42;54
41;22;1;2;48;36;55
17;5;49;39;29;47;56
38;7;16;19;39;33;57
29;36;7;34;49;14;58
37;40;39;28;16;14;59
16;36;44;25;6;9;60
15;9;47;10;27;21;61
32;11;13;7;43;6;62
17;20;23;15;31;35;63
49;45;13;47;1;5;64
23;31;17;11;26;38;65
20;4;16;19;17;15;66
6;47;7;33;3;12;67
2;39;6;9;28;49;68
12;6;39;30;43;34;69
31;49;18;9;17;19;70
1;31;42;35;9;15;71
15;16;28;43;23;2;72
36;9;34;4;11;45;73
2;36;45;7;35;18;74
3;14;35;24;44;32;75
18;48;22;45;31;14;76
47;20;30;44;27;26;77
2;40;31;14;48;18;78
39;18;6;28;44;15;79
35;44;11;39;27;45;80
18;43;23;37;20;33;81
31;41;4;2;27;22;82
15;21;31;17;24;40;83
28;16;44;30;20;29;84
24;35;3;45;40;1;85
4;32;37;14;3;29;86
7;47;1;32;8;35;87
21;38;14;44;34;30;88
10;12;19;4;25;8;89
23;31;15;36;37;46;90
26;11;5;22;6;14;91
41;44;40;34;28;30;92
42;1;2;23;44;3;93
9;25;34;20;1;27;94
48;17;42;8;43;6;95
13;39;29;33;36;26;96
3;40;48;8;41;14;97
36;31;24;30;42;38;98
27;47;7;40;2;4;99
27;38;21;12;20;40;100
24;37;19;28;34;12;101
25;10;33;9;35;7;102
21;22;13;26;42;20;103
